generation,agent_id,strategy,dominant,wins,losses,draws,fitness,generation_born
0,1,"-0-+---0","Defensive(-)",4,6,5,21.74,0
0,2,"0+000+0-","Neutral(0)",5,7,3,22.41,0
0,3,"--0---++","Defensive(-)",7,3,5,30.89,0
0,4,"0+--0--0","Defensive(-)",7,7,1,26.56,0
0,5,"--0-0--+","Defensive(-)",2,10,3,13.35,0
0,6,"+++00+-0","Aggressive(+)",7,6,2,27.71,0
0,7,"0-0+--00","Neutral(0)",7,5,3,28.65,0
0,8,"+-++--+-","Mixed(+/-)",7,6,2,28.28,0
0,9,"+-0+-0-0","Mixed(-/0)",5,5,5,24.95,0
0,10,"-0-0-+++","Mixed(+/-)",8,2,5,34.46,0
0,11,"-0-0+--0","Defensive(-)",6,7,2,25.04,0
0,12,"0000-00+","Neutral(0)",8,6,1,29.86,0
0,13,"++++00-0","Aggressive(+)",4,7,4,20.68,0
0,14,"0-0+0++0","Neutral(0)",7,6,2,27.86,0
0,15,"-000-0+0","Neutral(0)",6,4,5,27.89,0
0,16,"--+-0+++","Aggressive(+)",4,7,4,20.68,0
1,10,"-0-0-+++","Mixed(+/-)",4,8,3,19.35,0
1,3,"--0---++","Defensive(-)",7,6,2,27.62,0
1,12,"0000-00+","Neutral(0)",4,8,3,18.87,0
1,7,"0-0+--00","Neutral(0)",9,5,1,33.34,0
1,17,"---0-+0+","Defensive(-)",8,5,2,31.25,1
1,18,"00-0+++0","Neutral(0)",12,2,1,42.46,1
1,19,"+--00+++","Aggressive(+)",2,11,2,11.84,1
1,20,"-++---++","Mixed(+/-)",7,4,4,29.62,1
1,21,"--0---++","Defensive(-)",6,5,4,26.95,1
1,22,"--0-+0++","Mixed(+/-)",6,6,3,26.01,1
1,23,"000+-0++","Neutral(0)",2,11,2,11.30,1
1,24,"00-0-00+","Neutral(0)",5,4,6,26.10,1
1,25,"00++0000","Neutral(0)",4,9,2,18.62,1
1,26,"0-0+--00","Neutral(0)",6,5,4,26.80,1
1,27,"0000--00","Neutral(0)",7,3,5,30.71,1
1,28,"0+00--00","Neutral(0)",8,5,2,31.28,1
2,18,"00-0+++0","Neutral(0)",11,3,1,39.73,1
2,7,"0-0+--00","Neutral(0)",4,10,1,16.78,0
2,28,"0+00--00","Neutral(0)",5,8,2,21.29,1
2,17,"---0-+0+","Defensive(-)",6,7,2,24.68,1
