tick,alive,gamma,H,gamma_plus_H,sp0,sp1,sp2,sp3,sp4,total_fitness
0,100,0.8300,2.2964,3.1264,17,27,20,16,20,75.51
1,100,0.8500,2.3001,3.1501,17,26,21,16,20,77.72
2,100,0.7900,2.2922,3.0822,16,26,22,15,21,80.05
3,100,0.7700,2.2875,3.0575,15,26,22,15,22,81.93
4,100,0.7700,2.2866,3.0566,14,26,22,16,22,83.63
5,100,0.7900,2.3064,3.0964,16,22,22,17,23,85.05
6,100,0.8200,2.3074,3.1274,16,20,22,18,24,84.85
7,100,0.8200,2.3074,3.1274,16,20,22,18,24,85.30
8,100,0.8400,2.3161,3.1561,18,20,22,18,22,85.30
9,100,0.8600,2.3183,3.1783,18,20,21,19,22,84.95
10,100,0.8800,2.3168,3.1968,17,20,21,20,22,84.25
11,100,0.9000,2.3197,3.2197,18,20,21,20,21,84.00
12,100,0.9200,2.3197,3.2397,18,20,21,20,21,84.05
13,100,0.8700,2.3147,3.1847,17,20,21,19,23,84.05
14,100,0.9200,2.3147,3.2347,17,19,21,20,23,83.60
15,100,0.8800,2.3120,3.1920,17,19,21,19,24,83.45
16,100,0.8600,2.3079,3.1679,17,18,21,19,25,83.40
17,100,0.8900,2.3033,3.1933,16,17,21,21,25,83.35
18,100,0.9000,2.3033,3.2033,16,17,21,21,25,82.85
19,100,0.9200,2.3033,3.2233,17,16,21,21,25,82.85
20,100,0.9200,2.2994,3.2194,16,16,21,22,25,82.45
21,100,0.9000,2.2941,3.1941,15,16,21,23,25,82.50
22,100,0.9000,2.3038,3.2038,16,17,20,23,24,81.80
23,100,0.8900,2.3080,3.1980,16,18,20,23,23,82.15
24,100,0.9400,2.3064,3.2464,17,16,22,23,22,82.25
25,100,0.9600,2.3139,3.2739,18,17,22,22,21,82.45
26,100,0.8900,2.3153,3.2053,19,17,22,22,20,82.70
27,100,0.8900,2.3161,3.2061,18,18,22,22,20,82.30
28,100,0.8600,2.3183,3.1783,18,20,22,21,19,82.60
29,100,0.8700,2.3168,3.1868,18,21,22,21,18,83.30
30,100,0.8600,2.3161,3.1761,18,20,22,22,18,83.10
31,100,0.8200,2.3161,3.1361,18,20,22,22,18,82.65
32,100,0.8100,2.3139,3.1239,17,21,22,22,18,82.65
33,100,0.8200,2.3139,3.1339,17,21,22,22,18,82.75
34,100,0.7400,2.3160,3.0560,17,21,21,22,19,82.75
35,100,0.8200,2.3170,3.1370,18,20,20,23,19,82.80
36,100,0.7700,2.3141,3.0841,18,22,19,23,18,82.50
37,100,0.7800,2.3155,3.0955,18,21,20,23,18,83.25
38,100,0.8000,2.3177,3.1177,19,19,20,23,19,82.95
39,100,0.8000,2.3198,3.1198,20,19,20,22,19,82.40
40,100,0.8500,2.3170,3.1670,20,20,19,23,18,82.65
41,100,0.8300,2.3170,3.1470,20,20,19,23,18,82.90
42,100,0.8200,2.3161,3.1361,22,20,18,22,18,82.90
43,100,0.8400,2.3125,3.1525,23,20,17,22,18,83.70
44,100,0.8000,2.3155,3.1155,23,20,18,21,18,84.40
45,100,0.8200,2.3155,3.1355,23,20,18,21,18,84.55
46,100,0.8300,2.3112,3.1412,24,21,18,20,17,84.55
47,100,0.8000,2.3132,3.1132,23,21,18,21,17,84.65
48,100,0.8200,2.3132,3.1332,23,21,18,21,17,84.60
49,100,0.7900,2.3147,3.1047,23,21,20,19,17,84.60
50,100,0.7800,2.3168,3.0968,22,21,20,20,17,84.05
51,100,0.7800,2.3168,3.0968,22,21,20,20,17,83.35
52,100,0.7800,2.3168,3.0968,22,21,20,20,17,83.35
53,100,0.7800,2.3168,3.0968,22,21,20,20,17,83.35
54,100,0.8000,2.3147,3.1147,23,20,21,19,17,83.35
55,100,0.7800,2.3174,3.0974,21,20,21,21,17,83.75
56,100,0.7800,2.3174,3.0974,21,20,21,21,17,84.75
57,100,0.8000,2.3168,3.1168,21,20,20,22,17,84.75
58,100,0.7900,2.3168,3.1068,20,20,21,22,17,84.60
59,100,0.8000,2.3170,3.1170,20,20,19,23,18,84.55
60,100,0.7600,2.3170,3.0770,20,18,20,23,19,84.75
61,100,0.8000,2.3155,3.1155,21,18,20,23,18,84.10
62,100,0.7800,2.3147,3.0947,21,17,20,23,19,84.10
63,100,0.7900,2.3183,3.1083,22,18,21,20,19,83.65
64,100,0.7800,2.3205,3.1005,21,19,21,20,19,83.40
65,100,0.8200,2.3205,3.1405,21,19,21,20,19,83.70
66,100,0.8200,2.3183,3.1383,21,18,22,20,19,83.70
67,100,0.8100,2.3177,3.1277,19,19,23,20,19,83.40
68,100,0.8700,2.3205,3.1905,20,19,21,21,19,83.50
69,100,0.8300,2.3190,3.1490,21,19,21,21,18,84.05
70,100,0.8100,2.3197,3.1297,20,20,21,21,18,83.80
71,100,0.8200,2.3168,3.1368,20,20,22,21,17,84.20
72,100,0.8200,2.3123,3.1323,20,20,23,21,16,84.45
73,100,0.8200,2.3147,3.1347,19,20,23,21,17,84.70
74,100,0.8200,2.3123,3.1323,20,20,23,21,16,84.25
75,100,0.8200,2.3127,3.1327,20,19,24,20,17,84.60
76,100,0.8200,2.3120,3.1320,21,19,24,19,17,84.20
77,100,0.8200,2.3120,3.1320,21,19,24,19,17,84.00
78,100,0.8500,2.3123,3.1623,20,20,23,21,16,84.00
