start,cycle_length,max_value,ternary_sequence
1,-1,797161,+++++++++++++
2,-1,797162,̄̄̄̄̄̄̄̄̄̄̄̄̄
3,-1,797161,0+++++++++++++
4,-1,797161,++++++++++++
5,-1,797162,̄̄̄̄̄̄̄̄̄̄̄̄
6,-1,797162,0̄̄̄̄̄̄̄̄̄̄̄̄̄
7,-1,442867,+++++++++++
8,-1,442868,̄̄̄̄̄̄̄̄̄̄̄
9,-1,797161,00+++++++++++++
10,-1,620014,+++++++++++
11,-1,620015,̄̄̄̄̄̄̄̄̄̄̄
12,-1,797161,0++++++++++++
13,-1,797161,+++++++++++
14,-1,797162,̄̄̄̄̄̄̄̄̄̄̄
15,-1,797162,0̄̄̄̄̄̄̄̄̄̄̄̄
16,-1,974308,+++++++++++
17,-1,974309,̄̄̄̄̄̄̄̄̄̄̄
18,-1,797162,00̄̄̄̄̄̄̄̄̄̄̄̄̄
19,-1,383818,++++++++++
20,-1,383819,̄̄̄̄̄̄̄̄̄̄
21,-1,442867,0+++++++++++
22,-1,442867,++++++++++
23,-1,442868,̄̄̄̄̄̄̄̄̄̄
24,-1,442868,0̄̄̄̄̄̄̄̄̄̄̄
25,-1,501916,++++++++++
26,-1,501917,̄̄̄̄̄̄̄̄̄̄
27,-1,797161,000+++++++++++++
28,-1,560965,++++++++++
29,-1,560966,̄̄̄̄̄̄̄̄̄̄
30,-1,620014,0+++++++++++
31,-1,620014,++++++++++
32,-1,620015,̄̄̄̄̄̄̄̄̄̄
33,-1,620015,0̄̄̄̄̄̄̄̄̄̄̄
34,-1,679063,++++++++++
35,-1,679064,̄̄̄̄̄̄̄̄̄̄
36,-1,797161,00++++++++++++
37,-1,738112,++++++++++
38,-1,738113,̄̄̄̄̄̄̄̄̄̄
39,-1,797161,0+++++++++++
40,-1,797161,++++++++++
41,-1,797162,̄̄̄̄̄̄̄̄̄̄
42,-1,797162,0̄̄̄̄̄̄̄̄̄̄̄
43,-1,856210,++++++++++
44,-1,856211,̄̄̄̄̄̄̄̄̄̄
45,-1,797162,00̄̄̄̄̄̄̄̄̄̄̄̄
46,-1,915259,++++++++++
47,-1,915260,̄̄̄̄̄̄̄̄̄̄
48,-1,974308,0+++++++++++
49,-1,974308,++++++++++
50,-1,974309,̄̄̄̄̄̄̄̄̄̄
