pop_size,gen,frac_neg,frac_zero,frac_pos,fixed
10,10,0.500,0.000,0.500,false
10,20,0.500,0.000,0.500,false
10,30,0.500,0.000,0.500,false
10,40,0.500,0.000,0.500,false
10,50,0.500,0.000,0.500,false
10,60,0.500,0.000,0.500,false
10,70,0.500,0.000,0.500,false
10,80,0.500,0.000,0.500,false
10,90,0.500,0.000,0.500,false
10,100,0.500,0.000,0.500,false
30,10,0.267,0.267,0.467,false
30,20,0.367,0.000,0.633,false
30,30,0.367,0.000,0.633,false
30,40,0.500,0.000,0.500,false
30,50,0.500,0.000,0.500,false
30,60,0.500,0.000,0.500,false
30,70,0.500,0.000,0.500,false
30,80,0.500,0.000,0.500,false
30,90,0.500,0.000,0.500,false
30,100,0.500,0.000,0.500,false
100,10,0.520,0.230,0.250,false
100,20,0.580,0.270,0.150,false
100,30,0.670,0.250,0.080,false
100,40,0.700,0.250,0.050,false
100,50,0.700,0.250,0.050,false
100,60,0.500,0.250,0.250,false
100,70,0.500,0.250,0.250,false
100,80,0.500,0.250,0.250,false
100,90,0.500,0.250,0.250,false
100,100,0.500,0.250,0.250,false
300,10,0.257,0.310,0.433,false
300,20,0.387,0.280,0.333,false
300,30,0.267,0.293,0.440,false
300,40,0.307,0.363,0.330,false
300,50,0.330,0.413,0.257,false
300,60,0.363,0.390,0.247,false
300,70,0.363,0.350,0.287,false
300,80,0.377,0.267,0.357,false
300,90,0.310,0.270,0.420,false
300,100,0.287,0.267,0.447,false
1000,10,0.293,0.347,0.360,false
1000,20,0.266,0.363,0.371,false
1000,30,0.229,0.384,0.387,false
1000,40,0.217,0.415,0.368,false
1000,50,0.276,0.427,0.297,false
1000,60,0.276,0.398,0.326,false
1000,70,0.236,0.457,0.307,false
1000,80,0.246,0.475,0.279,false
1000,90,0.257,0.469,0.274,false
1000,100,0.260,0.482,0.258,false
3000,10,0.359,0.323,0.318,false
3000,20,0.324,0.318,0.358,false
3000,30,0.308,0.325,0.367,false
3000,40,0.344,0.324,0.332,false
3000,50,0.376,0.342,0.283,false
3000,60,0.372,0.360,0.269,false
3000,70,0.390,0.311,0.299,false
3000,80,0.371,0.355,0.274,false
3000,90,0.339,0.328,0.333,false
3000,100,0.350,0.350,0.300,false
