start_a,start_b,period,sequence_len,unique_count
-1,-1,8,10,3
-1,0,8,10,3
-1,1,8,10,3
0,-1,8,10,3
0,0,8,10,3
0,1,8,10,3
1,-1,8,10,3
1,0,8,10,3
1,1,2,4,1

tribonacci_a,b,c,period,unique
-1,-1,-1,13,3
-1,-1,0,13,3
-1,-1,1,13,3
-1,0,-1,13,3
-1,0,0,13,3
-1,0,1,13,3
-1,1,-1,13,3
-1,1,0,13,3
-1,1,1,13,3
0,-1,-1,13,3
0,-1,0,13,3
0,-1,1,13,3
0,0,-1,13,3
0,0,0,13,3
0,0,1,13,3
0,1,-1,13,3
0,1,0,13,3
0,1,1,13,3
1,-1,-1,13,3
1,-1,0,13,3
1,-1,1,13,3
1,0,-1,13,3
1,0,0,13,3
1,0,1,13,3
1,1,-1,13,3
1,1,0,13,3
1,1,1,3,1
