tick,energy,gradient_mag,laplacian_mag,zero_fraction,cluster_count
0,1.3920,1.4913,3.1640,0.3136,943
10,0.6144,0.5824,1.2288,0.0056,32
20,0.6144,0.5824,1.2288,0.0056,32
30,0.6144,0.5824,1.2288,0.0056,32
40,0.6144,0.5824,1.2288,0.0056,32
50,0.6144,0.5824,1.2288,0.0056,32
60,0.6144,0.5824,1.2288,0.0056,32
70,0.6144,0.5824,1.2288,0.0056,32
80,0.6144,0.5824,1.2288,0.0056,32
90,0.6144,0.5824,1.2288,0.0056,32
100,0.6144,0.5824,1.2288,0.0056,32
110,0.6144,0.5824,1.2288,0.0056,32
120,0.6144,0.5824,1.2288,0.0056,32
130,0.6144,0.5824,1.2288,0.0056,32
140,0.6144,0.5824,1.2288,0.0056,32
150,0.6144,0.5824,1.2288,0.0056,32
160,0.6144,0.5824,1.2288,0.0056,32
170,0.6144,0.5824,1.2288,0.0056,32
180,0.6144,0.5824,1.2288,0.0056,32
190,0.6144,0.5824,1.2288,0.0056,32
200,0.6144,0.5824,1.2288,0.0056,32
210,0.6144,0.5824,1.2288,0.0056,32
220,0.6144,0.5824,1.2288,0.0056,32
230,0.6144,0.5824,1.2288,0.0056,32
240,0.6144,0.5824,1.2288,0.0056,32
250,0.6144,0.5824,1.2288,0.0056,32
260,0.6144,0.5824,1.2288,0.0056,32
270,0.6144,0.5824,1.2288,0.0056,32
280,0.6144,0.5824,1.2288,0.0056,32
290,0.6144,0.5824,1.2288,0.0056,32
300,0.6144,0.5824,1.2288,0.0056,32
310,0.6144,0.5824,1.2288,0.0056,32
320,0.6144,0.5824,1.2288,0.0056,32
330,0.6144,0.5824,1.2288,0.0056,32
340,0.6144,0.5824,1.2288,0.0056,32
350,0.6144,0.5824,1.2288,0.0056,32
360,0.6144,0.5824,1.2288,0.0056,32
370,0.6144,0.5824,1.2288,0.0056,32
380,0.6144,0.5824,1.2288,0.0056,32
390,0.6144,0.5824,1.2288,0.0056,32
400,0.6144,0.5824,1.2288,0.0056,32
410,0.6144,0.5824,1.2288,0.0056,32
420,0.6144,0.5824,1.2288,0.0056,32
430,0.6144,0.5824,1.2288,0.0056,32
440,0.6144,0.5824,1.2288,0.0056,32
450,0.6144,0.5824,1.2288,0.0056,32
460,0.6144,0.5824,1.2288,0.0056,32
470,0.6144,0.5824,1.2288,0.0056,32
480,0.6144,0.5824,1.2288,0.0056,32
490,0.6144,0.5824,1.2288,0.0056,32
