tick,young,old,dead,active,clusters,gliders
0,625,0,1875,625,625,0
5,100,1000,1400,1100,22,0
10,300,900,1300,1200,18,0
15,0,500,2000,500,10,0
20,300,400,1800,700,8,0
25,300,0,2200,300,6,0
30,1000,500,1000,1500,10,0
35,200,0,2300,200,4,0
40,300,200,2000,500,4,0
45,300,0,2200,300,6,0
50,800,400,1300,1200,8,0
55,400,0,2100,400,8,0
60,900,500,1100,1400,10,0
65,200,0,2300,200,4,0
70,800,400,1300,1200,8,0
75,300,0,2200,300,6,0
80,300,200,2000,500,4,0
85,300,0,2200,300,6,0
90,800,400,1300,1200,8,0
95,200,0,2300,200,4,0
100,700,400,1400,1100,8,0
105,300,0,2200,300,6,0
110,600,300,1600,900,6,0
115,300,0,2200,300,6,0
120,900,500,1100,1400,10,0
125,600,0,1900,600,12,0
130,200,100,2200,300,2,0
135,200,0,2300,200,4,0
140,700,400,1400,1100,8,0
145,200,0,2300,200,4,0
150,400,200,1900,600,4,0
155,500,0,2000,500,10,0
160,400,200,1900,600,4,0
165,200,0,2300,200,4,0
170,800,400,1300,1200,8,0
175,400,0,2100,400,8,0
180,800,400,1300,1200,8,0
185,500,0,2000,500,10,0
190,200,100,2200,300,2,0
195,400,0,2100,400,8,0
200,700,400,1400,1100,8,0
205,200,0,2300,200,4,0
210,600,300,1600,900,6,0
215,400,0,2100,400,8,0
220,600,300,1600,900,6,0
225,400,0,2100,400,8,0
230,600,300,1600,900,6,0
235,300,0,2200,300,6,0
240,900,500,1100,1400,10,0
245,500,0,2000,500,10,0
250,600,300,1600,900,6,0
255,100,0,2400,100,2,0
260,200,100,2200,300,2,0
265,400,0,2100,400,8,0
270,400,200,1900,600,4,0
275,200,0,2300,200,4,0
280,700,400,1400,1100,8,0
285,200,0,2300,200,4,0
290,600,300,1600,900,6,0
295,400,0,2100,400,8,0
