coupling,sync_order,cluster_count,mean_freq_spread
0.000,0.0609,12,1.0129
0.053,0.0394,12,1.0036
0.105,0.0421,12,0.9958
0.158,0.0313,12,1.0145
0.211,0.0479,12,1.0152
0.263,0.0431,12,0.9969
0.316,0.0658,12,1.0269
0.368,0.0377,12,1.0433
0.421,0.0914,12,1.0373
0.474,0.0437,12,1.0423
0.526,0.0279,12,1.0461
0.579,0.0313,12,1.0503
0.632,0.0442,12,1.0288
0.684,0.0380,12,1.0404
0.737,0.0152,12,1.0495
0.789,0.0335,12,1.0360
0.842,0.0508,12,1.0243
0.895,0.0542,12,1.0409
0.947,0.0307,12,1.0247
1.000,0.1023,12,1.0754
