tick,energy,zero_frac,oscillating_frac,cluster_count
0,1.4500,0.2444,0.0000,627
5,1.6887,0.0794,0.6012,595
10,1.6213,0.0512,0.6169,538
15,1.6106,0.0481,0.6206,546
20,1.5606,0.0488,0.6281,526
25,1.5731,0.0437,0.6331,535
30,1.5581,0.0481,0.6300,530
35,1.5913,0.0437,0.6269,543
40,1.5656,0.0469,0.6269,530
45,1.5913,0.0437,0.6269,543
50,1.5656,0.0469,0.6269,530
55,1.5913,0.0437,0.6269,543
60,1.5656,0.0469,0.6269,530
65,1.5913,0.0437,0.6269,543
70,1.5656,0.0469,0.6269,530
75,1.5913,0.0437,0.6269,543
80,1.5656,0.0469,0.6269,530
85,1.5913,0.0437,0.6269,543
90,1.5656,0.0469,0.6269,530
95,1.5913,0.0437,0.6269,543
100,1.5656,0.0469,0.6269,530
105,1.5913,0.0437,0.6269,543
110,1.5656,0.0469,0.6269,530
115,1.5913,0.0437,0.6269,543
120,1.5656,0.0469,0.6269,530
125,1.5913,0.0437,0.6269,543
130,1.5656,0.0469,0.6269,530
135,1.5913,0.0437,0.6269,543
140,1.5656,0.0469,0.6269,530
145,1.5913,0.0437,0.6269,543
150,1.5656,0.0469,0.6269,530
155,1.5913,0.0437,0.6269,543
160,1.5656,0.0469,0.6269,530
165,1.5913,0.0437,0.6269,543
170,1.5656,0.0469,0.6269,530
175,1.5913,0.0437,0.6269,543
180,1.5656,0.0469,0.6269,530
185,1.5913,0.0437,0.6269,543
190,1.5656,0.0469,0.6269,530
195,1.5913,0.0437,0.6269,543
200,1.5656,0.0469,0.6269,530
205,1.5913,0.0437,0.6269,543
210,1.5656,0.0469,0.6269,530
215,1.5913,0.0437,0.6269,543
220,1.5656,0.0469,0.6269,530
225,1.5913,0.0437,0.6269,543
230,1.5656,0.0469,0.6269,530
235,1.5913,0.0437,0.6269,543
240,1.5656,0.0469,0.6269,530
245,1.5913,0.0437,0.6269,543
250,1.5656,0.0469,0.6269,530
255,1.5913,0.0437,0.6269,543
260,1.5656,0.0469,0.6269,530
265,1.5913,0.0437,0.6269,543
270,1.5656,0.0469,0.6269,530
275,1.5913,0.0437,0.6269,543
280,1.5656,0.0469,0.6269,530
285,1.5913,0.0437,0.6269,543
290,1.5656,0.0469,0.6269,530
295,1.5913,0.0437,0.6269,543
