density,percolates,cluster_count,largest_cluster,zero_fraction,avg_cluster_size
0.000,false,0,0.0000,0.4844,0.00
0.020,false,60,0.0008,0.4800,1.02
0.041,false,109,0.0012,0.4608,1.08
0.061,false,141,0.0020,0.4692,1.16
0.082,false,161,0.0016,0.4756,1.19
0.102,false,195,0.0020,0.4632,1.23
0.122,true,236,0.0016,0.4412,1.29
0.143,false,258,0.0024,0.4276,1.37
0.163,true,289,0.0048,0.4280,1.42
0.184,true,296,0.0028,0.4244,1.55
0.204,true,298,0.0052,0.4008,1.70
0.224,true,318,0.0052,0.3832,1.78
0.245,true,352,0.0040,0.3808,1.70
0.265,true,335,0.0052,0.3716,1.92
0.286,true,341,0.0052,0.3528,2.11
0.306,true,317,0.0072,0.3432,2.44
0.327,true,328,0.0080,0.3376,2.43
0.347,true,302,0.0156,0.3268,2.85
0.367,true,279,0.0176,0.3212,3.42
0.388,true,305,0.0116,0.2988,3.15
0.408,true,236,0.0304,0.2940,4.44
0.429,true,218,0.0320,0.2760,5.14
0.449,true,216,0.0308,0.2572,5.22
0.469,true,224,0.0252,0.2652,4.97
0.490,true,155,0.0708,0.2384,8.17
0.510,true,147,0.0440,0.2392,8.82
0.531,true,153,0.0940,0.2460,8.43
0.551,true,119,0.0936,0.2232,11.61
0.571,true,105,0.2848,0.2152,13.60
0.592,true,91,0.3456,0.2108,16.25
0.612,true,70,0.5252,0.1900,22.29
0.633,true,44,0.5736,0.1924,35.91
0.653,true,34,0.6180,0.1684,47.97
0.673,true,47,0.6232,0.1632,35.51
0.694,true,21,0.6756,0.1524,82.00
0.714,true,14,0.7140,0.1372,128.64
0.735,true,10,0.7416,0.1276,186.30
0.755,true,7,0.7524,0.1212,270.29
0.776,true,5,0.7760,0.1212,389.00
0.796,true,7,0.7920,0.1004,284.14
0.816,true,2,0.8196,0.0828,1025.50
0.837,true,3,0.8388,0.0744,699.67
0.857,true,2,0.8536,0.0756,1067.50
0.878,true,3,0.8792,0.0520,734.33
0.898,true,1,0.8964,0.0548,2241.00
0.918,true,1,0.9220,0.0380,2305.00
0.939,true,1,0.9324,0.0348,2331.00
0.959,true,1,0.9588,0.0184,2397.00
0.980,true,1,0.9752,0.0160,2438.00
1.000,true,1,1.0000,0.0000,2500.00
