tick,rock,paper,scissors,territory_changes,spiral_score
0,1200,1200,1200,2441,0.3301
10,1107,1397,1096,1085,0.1693
20,1110,931,1559,918,0.1477
30,1557,977,1066,893,0.1452
40,1329,1326,945,890,0.1491
50,1092,1205,1303,948,0.1613
60,1357,1032,1211,942,0.1636
70,984,1378,1238,903,0.1521
80,1196,1243,1161,930,0.1538
90,1016,1341,1243,848,0.1523
100,1130,1161,1309,900,0.1547
110,1525,1053,1022,929,0.1578
120,1046,1523,1031,874,0.1504
130,948,1163,1489,866,0.1584
140,1236,1041,1323,994,0.1688
150,1347,1123,1130,951,0.1614
160,1194,1313,1093,973,0.1642
170,1040,1282,1278,945,0.1657
180,1301,1255,1044,939,0.1642
190,1190,1261,1149,894,0.1544
200,1319,1121,1160,896,0.1586
210,1157,1283,1160,931,0.1576
220,1153,1126,1321,946,0.1639
230,1363,1004,1233,994,0.1711
240,1229,1330,1041,848,0.1467
250,1094,1270,1236,865,0.1547
260,1189,1093,1318,899,0.1574
270,1143,1090,1367,932,0.1628
280,1335,1036,1229,975,0.1688
290,1157,1398,1045,971,0.1735
300,1087,1360,1153,947,0.1639
310,1223,1146,1231,972,0.1697
320,1257,1136,1207,974,0.1677
330,1250,1242,1108,962,0.1654
340,1092,1195,1313,937,0.1619
350,1253,1118,1229,964,0.1666
360,1196,1236,1168,985,0.1721
370,1275,1146,1179,955,0.1628
380,1279,1213,1108,918,0.1622
390,1261,1207,1132,954,0.1638
400,1149,1241,1210,861,0.1442
410,1227,1181,1192,985,0.1589
420,1273,1220,1107,967,0.1596
430,1198,1341,1061,923,0.1541
440,1089,1363,1148,883,0.1531
450,1009,1272,1319,859,0.1494
460,1505,883,1212,811,0.1387
470,1228,1442,930,871,0.1416
480,997,1259,1344,797,0.1387
490,1305,914,1381,830,0.1425
