tick,architect,critic,historian,builder,energy_avg,dominant,spread,mutation_count
5,0,0,0,0,0.70,0,0.143,1
10,0,0,0,0,0.70,0,0.115,1
15,0,+,0,0,0.75,0,0.629,3
20,+,0,+,+,0.81,+,0.158,3
25,+,-,-,+,0.86,0,0.435,8
30,+,0,0,0,0.97,0,0.295,11
35,+,+,+,+,0.96,+,0.456,12
40,+,+,+,+,0.94,+,0.456,13
45,+,+,0,+,0.95,+,0.605,15
50,+,+,+,+,0.95,+,0.780,16
55,+,+,+,-,0.94,+,0.780,17
60,0,0,0,-,0.94,0,0.706,18
65,+,+,+,+,0.96,+,0.353,22
70,+,+,+,+,0.96,+,0.353,22
75,+,0,-,+,0.98,+,0.284,26
80,+,+,+,+,1.00,+,0.577,26
85,+,+,+,+,0.98,+,0.577,26
90,0,-,0,+,0.97,0,0.483,27
95,0,0,0,+,0.98,0,0.560,27
100,0,0,0,0,1.00,0,0.309,28
105,+,+,+,+,1.00,+,0.309,28
110,+,-,+,+,1.00,+,0.309,29
115,-,0,0,0,1.00,0,0.244,30
120,+,+,+,+,1.00,+,0.486,32
125,0,+,0,0,1.00,0,0.512,34
130,+,+,+,+,0.99,+,0.742,34
135,+,+,+,+,0.98,+,0.742,35
140,+,+,+,+,0.97,+,0.742,35
145,+,+,+,+,0.95,+,0.742,35
150,+,+,+,+,0.94,+,0.742,37
155,0,+,+,+,0.93,+,0.742,38
160,+,+,+,+,0.94,+,0.904,39
165,+,+,+,0,0.95,+,0.776,40
170,+,+,+,+,0.94,+,0.898,40
175,0,0,+,+,0.95,+,0.761,41
180,+,+,0,+,0.95,+,0.390,42
185,-,+,0,+,0.96,+,0.672,44
190,0,0,0,0,0.96,0,0.514,44
195,0,+,+,+,0.95,+,0.514,45
200,+,+,+,+,0.96,+,0.745,45
