tick,architect,critic,historian,builder,energy_avg,dominant,dominance_spread
5,0,-,0,0,0.74,0,0.455
10,0,-,0,0,0.82,0,0.456
15,0,-,0,0,0.87,0,0.763
20,0,-,0,0,0.92,0,0.711
25,+,-,0,0,0.96,0,0.512
30,+,-,0,0,0.98,0,0.411
35,+,-,+,+,1.00,+,0.298
40,+,-,+,+,1.00,+,0.690
45,+,-,+,+,1.00,+,0.839
50,+,-,+,+,1.00,+,0.909
55,+,-,+,+,1.00,+,0.947
60,+,-,+,+,1.00,+,0.969
65,+,-,+,+,1.00,+,0.982
70,+,-,+,+,1.00,+,0.989
75,+,-,+,+,1.00,+,0.994
80,+,-,+,+,1.00,+,0.996
85,+,-,+,+,1.00,+,0.998
90,+,-,+,+,1.00,+,0.999
95,+,-,+,+,1.00,+,0.999
100,+,-,+,+,1.00,+,1.000
105,+,-,+,+,1.00,+,1.000
110,+,-,+,+,1.00,+,1.000
115,+,-,+,+,1.00,+,1.000
120,+,-,+,+,1.00,+,1.000
125,+,-,+,+,1.00,+,1.000
130,+,-,+,+,1.00,+,1.000
135,+,-,+,+,1.00,+,1.000
140,+,-,+,+,1.00,+,1.000
145,+,-,+,+,1.00,+,1.000
150,+,-,+,+,1.00,+,1.000
155,+,-,+,+,1.00,+,1.000
160,+,-,+,+,1.00,+,1.000
165,+,-,+,+,1.00,+,1.000
170,+,-,+,+,1.00,+,1.000
175,+,-,+,+,1.00,+,1.000
180,+,-,+,+,1.00,+,1.000
185,+,-,+,+,1.00,+,1.000
190,+,-,+,+,1.00,+,1.000
195,+,-,+,+,1.00,+,1.000
200,+,-,+,+,1.00,+,1.000
