temp,magnetization,energy,zero_fraction,susceptibility
0.1,0.0583,-0.7682,0.1822,0.0001
0.2,0.0311,-0.7378,0.2122,0.0002
0.3,0.0766,-0.7193,0.2511,0.0000
0.4,0.0178,-0.6886,0.2211,0.0000
0.5,0.0585,-0.7139,0.2433,0.0000
0.6,0.0354,-0.6664,0.2256,0.0000
0.7,0.0459,-0.6380,0.2378,0.0000
0.8,0.0332,-0.6138,0.2389,0.0001
0.9,0.0517,-0.6187,0.2589,0.0001
1.0,0.0890,-0.5727,0.2389,0.0001
1.1,0.0649,-0.5680,0.2767,0.0000
1.2,0.0270,-0.6450,0.2367,0.0000
1.3,0.0478,-0.5216,0.2767,0.0000
1.4,0.1753,-0.5384,0.2567,0.0000
1.5,0.0585,-0.5015,0.2622,0.0000
1.6,0.0652,-0.4317,0.2733,0.0000
1.7,0.0179,-0.4497,0.2567,0.0000
1.8,0.0020,-0.4366,0.2856,0.0000
1.9,0.0520,-0.4781,0.3022,0.0000
2.0,0.0016,-0.4178,0.2900,0.0000
2.1,0.0418,-0.3511,0.3044,0.0000
2.2,0.0493,-0.4318,0.2878,0.0000
2.3,0.0072,-0.4093,0.2922,0.0000
2.4,0.0263,-0.3361,0.2911,0.0001
2.5,0.0281,-0.3134,0.3000,0.0000
2.6,0.0212,-0.3410,0.3078,0.0000
2.7,0.0499,-0.3299,0.3033,0.0000
2.8,0.0457,-0.2679,0.3089,0.0000
2.9,0.0173,-0.2517,0.3133,0.0000
3.0,0.0464,-0.2737,0.3278,0.0000
3.1,0.0182,-0.2723,0.3078,0.0000
3.2,0.0483,-0.2309,0.3356,0.0000
3.3,0.0345,-0.2950,0.3244,0.0000
3.4,0.0437,-0.2587,0.3000,0.0001
3.5,0.1000,-0.2224,0.3222,0.0001
3.6,0.0110,-0.2109,0.3444,0.0000
3.7,0.0465,-0.2273,0.3344,0.0000
3.8,0.0302,-0.1907,0.3144,0.0000
3.9,0.0340,-0.1886,0.3444,0.0001
4.0,0.0441,-0.1882,0.3133,0.0000
4.1,0.0107,-0.2135,0.2778,0.0000
4.2,0.0017,-0.2071,0.3278,0.0000
4.3,0.0252,-0.2277,0.3111,0.0000
4.4,0.0155,-0.1587,0.3578,0.0000
4.5,0.0537,-0.1727,0.3467,0.0000
4.6,0.0099,-0.2081,0.3244,0.0000
4.7,0.0505,-0.1296,0.3333,0.0000
4.8,0.0534,-0.1437,0.3289,0.0000
4.9,0.0012,-0.1447,0.3222,0.0000
