forgiveness,survival,entropy,abs_gamma,collapsed
0.0000,0.3780,1.3346,0.3780,0
0.0101,0.3630,1.3076,0.3630,0
0.0202,0.3080,1.1961,0.3080,0
0.0303,0.2790,1.1309,0.2790,0
0.0404,0.2720,1.1163,0.2720,0
0.0505,0.2490,1.0562,0.2490,0
0.0606,0.2790,1.1330,0.2790,0
0.0707,0.2170,0.9692,0.2170,0
0.0808,0.2150,0.9659,0.2150,0
0.0909,0.2090,0.9460,0.2090,0
0.1010,0.2240,0.9885,0.2240,0
0.1111,0.2150,0.9635,0.2150,0
0.1212,0.2070,0.9427,0.2070,0
0.1313,0.2130,0.9581,0.2130,0
0.1414,0.1880,0.8837,0.1880,0
0.1515,0.1970,0.9113,0.1970,0
0.1616,0.1940,0.9035,0.1940,0
0.1717,0.1780,0.8478,0.1780,0
0.1818,0.1730,0.8374,0.1730,0
0.1919,0.1850,0.8756,0.1850,0
0.2020,0.1960,0.9097,0.1960,0
0.2121,0.1780,0.8529,0.1780,0
0.2222,0.1640,0.8077,0.1640,0
0.2323,0.1780,0.8535,0.1780,0
0.2424,0.1650,0.8111,0.1650,0
0.2525,0.1820,0.8663,0.1820,0
0.2626,0.1770,0.8501,0.1770,0
0.2727,0.1700,0.8239,0.1700,0
0.2828,0.1630,0.8012,0.1630,0
0.2929,0.1480,0.7528,0.1480,0
0.3030,0.1430,0.7344,0.1430,0
0.3131,0.1490,0.7522,0.1490,0
0.3232,0.1550,0.7768,0.1550,0
0.3333,0.1440,0.7385,0.1440,0
0.3434,0.1590,0.7904,0.1590,0
0.3535,0.1400,0.7242,0.1400,0
0.3636,0.1350,0.7001,0.1350,0
0.3737,0.1510,0.7628,0.1510,0
0.3838,0.1330,0.6974,0.1330,0
0.3939,0.1240,0.6647,0.1240,0
0.4040,0.1380,0.7093,0.1380,0
0.4141,0.1310,0.6887,0.1310,0
0.4242,0.1420,0.7185,0.1420,0
0.4343,0.1360,0.7095,0.1360,0
0.4444,0.1370,0.7133,0.1370,0
0.4545,0.1320,0.6922,0.1320,0
0.4646,0.1230,0.6609,0.1230,0
0.4747,0.1210,0.6531,0.1210,0
0.4848,0.1320,0.6877,0.1320,0
0.4949,0.1320,0.6938,0.1320,2010
0.5051,0.1260,0.6551,0.1260,2607
0.5152,0.1320,0.6947,0.1320,0
0.5253,0.1290,0.6817,0.1290,0
0.5354,0.1200,0.6493,0.1200,0
0.5455,0.1240,0.6639,0.1240,1102
0.5556,0.1150,0.6291,0.1150,0
0.5657,0.1330,0.6952,0.1330,591
0.5758,0.1170,0.6372,0.1170,0
0.5859,0.1290,0.6817,0.1290,431
0.5960,0.1190,0.6379,0.1190,440
0.6061,0.1070,0.5958,0.1070,562
0.6162,0.1150,0.6275,0.1150,1605
0.6263,0.1120,0.6178,0.1120,56
0.6364,0.1210,0.6531,0.1210,1670
0.6465,0.1180,0.6416,0.1180,217
0.6566,0.1180,0.6416,0.1180,239
0.6667,0.1110,0.6134,0.1110,121
0.6768,0.1070,0.5958,0.1070,185
0.6869,0.1000,0.5676,0.1000,101
0.6970,0.1030,0.5799,0.1030,170
0.7071,0.1100,0.6090,0.1100,139
0.7172,0.1150,0.6270,0.1150,88
0.7273,0.1010,0.5730,0.1010,83
0.7374,0.1000,0.5689,0.1000,59
0.7475,0.1090,0.6024,0.1090,31
0.7576,0.1030,0.5814,0.1030,50
0.7677,0.1080,0.5997,0.1080,119
0.7778,0.1090,0.6044,0.1090,35
0.7879,0.1160,0.6273,0.1160,45
0.7980,0.1100,0.6082,0.1100,65
0.8081,0.1190,0.6278,0.1190,43
0.8182,0.1150,0.6293,0.1150,52
0.8283,0.0990,0.5645,0.0990,33
0.8384,0.0950,0.5384,0.0950,91
0.8485,0.0960,0.5522,0.0960,23
0.8586,0.1080,0.5997,0.1080,69
0.8687,0.0990,0.5646,0.0990,27
0.8788,0.0960,0.5519,0.0960,42
0.8889,0.1060,0.5904,0.1060,40
0.8990,0.0920,0.5289,0.0920,33
0.9091,0.1130,0.6205,0.1130,39
0.9192,0.1010,0.5732,0.1010,25
0.9293,0.1060,0.5936,0.1060,109
0.9394,0.0890,0.5142,0.0890,36
0.9495,0.1060,0.5935,0.1060,25
0.9596,0.0960,0.5521,0.0960,33
0.9697,0.0950,0.5384,0.0950,24
0.9798,0.1020,0.5772,0.1020,27
0.9899,0.0840,0.4996,0.0840,28
1.0000,0.1010,0.5726,0.1010,33
