grace,trust,survival,entropy,trust_events,grace_events
0.000,0.000,0.3760,1.3301,143563,0
0.000,0.053,0.3700,1.3194,159945,0
0.000,0.105,0.4280,1.4127,172035,0
0.000,0.158,0.4220,1.4014,187133,0
0.000,0.211,0.4840,1.4817,198601,0
0.000,0.263,0.4540,1.4465,221497,0
0.000,0.316,0.4560,1.4492,223831,0
0.000,0.368,0.4780,1.4739,236518,0
0.000,0.421,0.5220,1.5194,256600,0
0.000,0.474,0.5500,1.5426,269280,0
0.000,0.526,0.5180,1.5136,278711,0
0.000,0.579,0.5060,1.5059,296015,0
0.000,0.632,0.5300,1.5262,296252,0
0.000,0.684,0.5620,1.5508,316986,0
0.000,0.737,0.6100,1.5723,322409,0
0.000,0.789,0.6140,1.5748,329778,0
0.000,0.842,0.5600,1.5488,345854,0
0.000,0.895,0.5900,1.5654,355750,0
0.000,0.947,0.6100,1.5718,365672,0
0.000,1.000,0.5820,1.5619,373522,0
0.053,0.000,0.2660,1.1004,73092,1875
0.053,0.053,0.2760,1.1151,77696,2023
0.053,0.105,0.3020,1.1849,85530,2229
0.053,0.158,0.3160,1.2160,90014,2345
0.053,0.211,0.3080,1.1975,94973,2497
0.053,0.263,0.3100,1.2016,99112,2672
0.053,0.316,0.3240,1.2325,105302,2796
0.053,0.368,0.3440,1.2692,110561,3056
0.053,0.421,0.3560,1.2859,114318,3128
0.053,0.474,0.3620,1.2915,122411,3267
0.053,0.526,0.3620,1.2986,130988,3541
0.053,0.579,0.3480,1.2669,134851,3522
0.053,0.632,0.3960,1.3561,136802,3596
0.053,0.684,0.4140,1.3895,146981,3882
0.053,0.737,0.3920,1.3578,147386,3993
0.053,0.789,0.4020,1.3689,156412,4080
0.053,0.842,0.4160,1.3951,158368,4225
0.053,0.895,0.4100,1.3863,164182,4342
0.053,0.947,0.4060,1.3792,165552,4406
0.053,1.000,0.4140,1.3905,172225,4568
0.105,0.000,0.2140,0.9627,51238,2630
0.105,0.053,0.2120,0.9559,50668,2798
0.105,0.105,0.2480,1.0425,53928,2979
0.105,0.158,0.2140,0.9627,59915,3249
0.105,0.211,0.2700,1.1011,60755,3332
0.105,0.263,0.2840,1.1445,67124,3640
0.105,0.316,0.3000,1.1813,70427,3786
0.105,0.368,0.2580,1.0777,74208,3969
0.105,0.421,0.2540,1.0706,75625,4175
0.105,0.474,0.2920,1.1614,81142,4414
0.105,0.526,0.2860,1.1494,85424,4703
0.105,0.579,0.2980,1.1747,84504,4698
