tunnel_rate,survival,entropy,abs_gamma
0.0000,0.0000,0.0000,0.0000
0.0101,0.4930,1.4926,0.4930
0.0202,0.6870,1.5813,0.6870
0.0303,0.7560,1.5574,0.7560
0.0404,0.7960,1.5259,0.7960
0.0505,0.8360,1.4797,0.8360
0.0606,0.8570,1.4473,0.8570
0.0707,0.8700,1.4274,0.8700
0.0808,0.8960,1.3763,0.8960
0.0909,0.9120,1.3412,0.9120
0.1010,0.9100,1.3465,0.9100
0.1111,0.9030,1.3622,0.9030
0.1212,0.9220,1.3160,0.9220
0.1313,0.9300,1.2937,0.9300
0.1414,0.9490,1.2396,0.9490
0.1515,0.9250,1.3090,0.9250
0.1616,0.9380,1.2729,0.9380
0.1717,0.9350,1.2809,0.9350
0.1818,0.9510,1.2331,0.9510
0.1919,0.9410,1.2635,0.9410
0.2020,0.9560,1.2163,0.9560
0.2121,0.9530,1.2261,0.9530
0.2222,0.9660,1.1786,0.9660
0.2323,0.9550,1.2191,0.9550
0.2424,0.9610,1.1970,0.9610
0.2525,0.9670,1.1762,0.9670
0.2626,0.9510,1.2326,0.9510
0.2727,0.9620,1.1949,0.9620
0.2828,0.9580,1.2091,0.9580
0.2929,0.9700,1.1640,0.9700
0.3030,0.9700,1.1644,0.9700
0.3131,0.9760,1.1393,0.9760
0.3232,0.9690,1.1679,0.9690
0.3333,0.9700,1.1644,0.9700
0.3434,0.9780,1.1305,0.9780
0.3535,0.9690,1.1681,0.9690
0.3636,0.9730,1.1497,0.9730
0.3737,0.9740,1.1474,0.9740
0.3838,0.9700,1.1644,0.9700
0.3939,0.9650,1.1838,0.9650
0.4040,0.9780,1.1303,0.9780
0.4141,0.9800,1.1199,0.9800
0.4242,0.9740,1.1478,0.9740
0.4343,0.9810,1.1168,0.9810
0.4444,0.9860,1.0919,0.9860
0.4545,0.9790,1.1250,0.9790
0.4646,0.9810,1.1160,0.9810
0.4747,0.9890,1.0759,0.9890
0.4848,0.9800,1.1172,0.9800
0.4949,0.9860,1.0920,0.9860
0.5051,0.9910,1.0637,0.9910
0.5152,0.9810,1.1139,0.9810
0.5253,0.9850,1.0948,0.9850
0.5354,0.9800,1.1214,0.9800
0.5455,0.9800,1.1213,0.9800
0.5556,0.9810,1.1163,0.9810
0.5657,0.9820,1.1112,0.9820
0.5758,0.9780,1.1291,0.9780
0.5859,0.9870,1.0868,0.9870
0.5960,0.9820,1.1099,0.9820
0.6061,0.9850,1.0967,0.9850
0.6162,0.9840,1.1023,0.9840
0.6263,0.9780,1.1305,0.9780
0.6364,0.9820,1.1098,0.9820
0.6465,0.9880,1.0818,0.9880
0.6566,0.9880,1.0815,0.9880
0.6667,0.9830,1.1071,0.9830
0.6768,0.9870,1.0870,0.9870
0.6869,0.9880,1.0817,0.9880
0.6970,0.9920,1.0587,0.9920
0.7071,0.9850,1.0930,0.9850
0.7172,0.9780,1.1305,0.9780
0.7273,0.9830,1.1070,0.9830
0.7374,0.9930,1.0526,0.9930
0.7475,0.9880,1.0814,0.9880
0.7576,0.9880,1.0809,0.9880
0.7677,0.9880,1.0791,0.9880
0.7778,0.9880,1.0809,0.9880
0.7879,0.9890,1.0755,0.9890
0.7980,0.9920,1.0561,0.9920
0.8081,0.9880,1.0816,0.9880
0.8182,0.9880,1.0798,0.9880
0.8283,0.9880,1.0817,0.9880
0.8384,0.9870,1.0868,0.9870
0.8485,0.9890,1.0759,0.9890
0.8586,0.9850,1.0973,0.9850
0.8687,0.9860,1.0919,0.9860
0.8788,0.9870,1.0871,0.9870
0.8889,0.9890,1.0762,0.9890
0.8990,0.9890,1.0751,0.9890
0.9091,0.9900,1.0683,0.9900
0.9192,0.9900,1.0703,0.9900
0.9293,0.9940,1.0468,0.9940
0.9394,0.9870,1.0857,0.9870
0.9495,0.9860,1.0916,0.9860
0.9596,0.9840,1.1023,0.9840
0.9697,0.9880,1.0817,0.9880
0.9798,0.9950,1.0404,0.9950
0.9899,0.9930,1.0528,0.9930
1.0000,0.9850,1.0972,0.9850
